;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_12_3_C;1;1302.85609936947;1885.58789380622;0.221903989238365;0.995575917177632;34.7216999980446;"FM";"1";0;0;0;0;0;24.0477999977884;"FM";"1";0;0;0;0;0;0;119.285099997796;"Scratch_PD";"1";0;0;0;0;0;0;88.8683999983186
HE_11_4_C;1;1276.69699130077;1885.07223600041;0.1614948727814;0.996256247028839;39.2952999973204;"FM";"1";0;0;0;0;0;37.2869999991963;"FM";"1";0;0;0;0;0;0;130.359500002669;"Scratch_PD";"1";0;0;0;0;0;0;116.579599998659
HE_12_4_C;1;1288.24177873248;1874.10259011359;0.179421787881607;0.996560770033625;24.2478000000119;"FM";"1";0;0;0;0;0;30.9574999992037;"FM";"1";0;0;0;0;0;0;101.554400000168;"Scratch_PD";"1";0;0;0;0;0;0;155.242099997849
HE_9_4_C;1;1273.83587589634;1889.42329634937;0.115522358790986;0.996812287104888;39.633500000491;"FM";"1";0;0;0;0;0;22.6320000001579;"FM";"1";2;0;0;[12.1852369693823, 9.32952303175248];[71.68, 61.44];133.12;76.9349000001966;"Scratch_PD";"1";0;0;0;0;0;0;75.4082999992534
HE_11_3_C;1;1290.17746656049;1896.91173761635;0.162232467442378;0.99678284661718;55.006599999615;"FM";"1";0;0;0;0;0;55.5351000002702;"FM";"1";1;0;0;11.3137084989848;61.44;61.44;99.8630000030971;"Scratch_PD";"1";0;0;0;0;0;0;158.484399998997
HE_10_4_C;1;1289.57578751932;1881.27268929626;0.0845832935789512;0.996741394932712;28.2372000001487;"FM";"1";0;0;0;0;0;22.4473999987822;"FM";"1";2;0;0;[12.1852369693823, 11.3137084989848];[92.16, 71.68];163.84;148.488599999837;"Scratch_PD";"1";0;0;0;0;0;0;110.601499996847
HE_10_3_C;1;1302.42590607277;1890.87660279241;0.164222531626618;0.996377468726564;32.2521000016422;"FM";"1";0;0;0;0;0;26.8482999999833;"FM";"1";0;0;0;0;0;0;95.3829999998561;"Scratch_PD";"1";0;0;0;0;0;0;123.641399997723
HE_8_3_C;1;1296.15414498469;1887.26286015431;0.182794109514995;0.99384591317488;21.6705999991973;"FM";"1";0;0;0;0;0;34.5463999983622;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;135.142899998755;"Scratch_PD";"1";0;0;0;0;0;0;209.013399999094
HE_9_3_C;1;1285.91795996355;1900.4185952145;0.232286564381479;0.995536880788165;30.4673999999068;"FM";"1";0;0;0;0;0;19.1105000012612;"FM";"1";2;0;0;[9.32952303175248, 13.7637204272682];[61.44, 102.4];163.84;179.993699999613;"Scratch_PD";"1";0;0;0;0;0;0;143.250500001159
HE_7_3_C;1;1281.5252548538;1897.10878511814;0.273471277271829;0.994620113139888;21.6292000004614;"FM";"1";0;0;0;0;0;25.7161000008637;"FM";"1";1;0;0;18.2428068015862;153.6;153.6;146.487000001798;"Scratch_PD";"1";0;0;0;0;0;0;99.5780999983253
