;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_17_2_C;1;1291.09064408515;1871.03809530854;0.0697183945012277;0.995779650574832;37.4570000021777;"FM";"1";0;0;0;0;0;33.1468000003952;"FM";"1";14;0;0;[9.32952303175248, 9.32952303175248, 9.32952303175248, 13.7637204272682, 13.7637204272682, 9.32952303175248, 12.1852369693823, 24.4752936652454, 12.1852369693823, 9.32952303175248, 11.3137084989848, 11.3137084989848, 12.1852369693823, 12.1852369693823];[61.44, 61.44, 51.2, 122.88, 112.64, 51.2, 81.92, 163.84, 81.92, 71.68, 81.92, 81.92, 92.16, 92.16];1208.32;215.408100000786;"Scratch_PD";"1";0;0;0;0;0;0;73.2548999985738
HE_17_3_C;1;1296.62278061731;1880.03073926154;0.21355929937269;0.993198940505977;35.9054000000469;"FM";"1";0;0;0;0;0;41.8562999984715;"FM";"1";13;0;0;[18.2428068015862, 12.1852369693823, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 12.1852369693823, 12.1852369693823, 9.32952303175248, 12.1852369693823, 13.7637204272682];[204.8, 92.16, 61.44, 61.44, 102.4, 51.2, 61.44, 61.44, 102.4, 81.92, 61.44, 102.4, 71.68];1116.16;92.6588000002084;"Scratch_PD";"1";0;0;0;0;0;0;170.904800001153
HE_17_4_C;1;1288.18226411912;1869.45382059863;0.23307827343084;0.993465145181972;40.3566999993927;"FM";"1";1;0;31.0663805423162;570.88;570.88;15.1844000029087;"FM";"1";9;0;0;[31.0663805423162, 16.4730082255792, 15.1789327688082, 9.32952303175248, 12.1852369693823, 15.1789327688082, 18.2428068015862, 16.4730082255792, 12.1852369693823];[570.88, 184.32, 153.6, 61.44, 92.16, 133.12, 194.56, 184.32, 92.16];1666.56;80.4126000002725;"Scratch_PD";"1";0;0;0;0;0;0;103.924299997743
HE_18_3_C;1;1309.64929782938;1871.53667684761;0.256500302818976;0.992342098285008;21.3521999976365;"FM";"1";0;0;0;0;0;17.7832000008493;"FM";"1";11;0;0;[13.7637204272682, 15.1789327688082, 13.7637204272682, 12.1852369693823, 9.32952303175248, 18.2428068015862, 11.3137084989848, 12.1852369693823, 13.7637204272682, 9.32952303175248, 12.1852369693823];[133.12, 122.88, 112.64, 102.4, 61.44, 194.56, 81.92, 102.4, 92.16, 61.44, 71.68];1136.64;135.281300001225;"Scratch_PD";"1";0;0;0;0;0;0;119.807099999889
HE_15_3_C_77;1;1304.63410223307;1887.2593961329;0.296805991403673;0.992678738185475;20.7505999969726;"FM";"77";1;45.8449561020621;45.8449561020621;883.2;883.2;44.1987999984121;"FM";"77";7;0;45.8449561020621;[45.8449561020621, 14.4886162210199, 12.1852369693823, 12.1852369693823, 12.1852369693823, 11.3137084989848, 16.4730082255792];[883.2, 81.92, 81.92, 81.92, 61.44, 61.44, 133.12];1384.96;75.1973000005819;"Scratch_PD";"1";0;0;0;0;0;0;142.547000003105
HE_16_3_C;1;1313.14455867312;1878.87314594542;0.224941701513292;0.993556926391989;56.2566999979026;"FM";"1";0;0;0;0;0;47.7196000028925;"FM";"1";15;0;0;[9.32952303175248, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 18.2428068015862, 12.1852369693823, 12.1852369693823, 9.32952303175248, 8.15843122174846, 15.1789327688082, 9.32952303175248, 9.32952303175248, 13.7637204272682, 9.32952303175248];[61.44, 61.44, 61.44, 71.68, 51.2, 112.64, 61.44, 102.4, 51.2, 51.2, 122.88, 51.2, 51.2, 102.4, 61.44];1075.2;131.754500001989;"Scratch_PD";"1";0;0;0;0;0;0;89.6240999973088
HE_13_3_C;1;1301.20322919269;1893.71594048093;0.450609205008457;0.995503588884105;25.4134000024351;"FM";"1";0;0;0;0;0;19.5117000002938;"FM";"1";14;0;0;[11.3137084989848, 9.32952303175248, 13.7637204272682, 9.32952303175248, 16.4730082255792, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248, 13.7637204272682, 15.1789327688082, 12.1852369693823];[81.92, 51.2, 112.64, 51.2, 174.08, 61.44, 81.92, 61.44, 71.68, 61.44, 61.44, 133.12, 122.88, 92.16];1218.56;125.280500000372;"Scratch_PD";"1";0;0;0;0;0;0;110.155000002123
HE_14_4_C;1;1296.73547115918;1872.82766161263;0.100222448501474;0.995540275256815;18.5687999983202;"FM";"1";1;0;11.3137084989848;58.88;58.88;18.7970000006317;"FM";"1";12;0;0;[11.3137084989848, 9.32952303175248, 9.32952303175248, 9.32952303175248, 16.4730082255792, 12.1852369693823, 21.3466625026021, 15.1789327688082, 9.32952303175248, 11.3137084989848, 9.32952303175248, 9.32952303175248];[58.88, 61.44, 61.44, 61.44, 163.84, 71.68, 143.36, 143.36, 61.44, 81.92, 61.44, 51.2];1021.44;129.458300001716;"Scratch_PD";"1";0;0;0;0;0;0;77.4920999974711
HE_14_3_C;1;1311.94449429423;1883.77776489392;0.270375844852107;0.996179545093014;55.2308000005723;"FM";"1";0;0;0;0;0;26.1620999990555;"FM";"77";9;36.5557109081468;0;[12.1852369693823, 9.32952303175248, 36.5557109081468, 12.1852369693823, 9.32952303175248, 11.3137084989848, 9.32952303175248, 9.32952303175248, 9.32952303175248];[102.4, 71.68, 307.2, 71.68, 51.2, 81.92, 51.2, 51.2, 61.44];849.92;88.8936999981524;"Scratch_PD";"1";0;0;0;0;0;0;181.059699996695
HE_12_3_C;1;1301.24093291247;1880.44490438327;0.378893413528509;0.995559597616818;22.1454999991693;"FM";"1";0;0;0;0;0;36.971800000174;"FM";"1";14;0;0;[9.32952303175248, 24.4752936652454, 15.1789327688082, 12.1852369693823, 9.32952303175248, 11.3137084989848, 12.1852369693823, 22.740272645683, 9.32952303175248, 15.1789327688082, 9.32952303175248, 26.484712571595, 12.1852369693823, 16.4730082255792];[61.44, 245.76, 133.12, 102.4, 71.68, 71.68, 92.16, 174.08, 71.68, 143.36, 61.44, 194.56, 92.16, 112.64];1628.16;93.9973999993526;"Scratch_PD";"1";0;0;0;0;0;0;140.822099998331
