;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copper_area(um);8. *Copper_max_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_11_1_C1;1;1293.91545380625;1908.99226316515;-0.215569768816991;0.816909984982544;59.1205000018817;"1";0;1419.45599340267;1913.08736325325;0.19625482916942;5.13254052789922;3.48107636667707;77.8667000013229;"1";0;[];[];[];[];5.91590000112774;["1", "1"];[0, 0];0;0;0;2.4;46.835099998134;"1";0;[];[];[];[];27576;414.137;33.5082999990846;"1";0;[];[];[];[];[];1.81810000140104
HE_13_2_C1;1;1278.79976731992;1882.95342168545;-0.237381601576796;0.762443508316125;44.4210999994539;"1";0;1407.8551094002;1884.91833077448;0.213577759044485;5.1373937766287;3.47712060662758;95.3595999999379;"1";0;[];[];[];[];8.52350000059232;["1", "1"];[0, 0];0;0;0;0;131.833799998276;"1";0;[];[];[];[];[];[];29.1107999983069;"1";0;[];[];[];[];[];1.60239999968326
HE_13_1_C1;1;1291.74891672732;1897.15230743097;-0.233679847921908;0.790572791202806;59.3401000005542;"1";0;1420.35932948693;1898.58382249779;0.192541419728333;5.13802675747921;3.48159804959532;81.8331999980728;"1";0;[];[];[];[];3.61460000203806;["1", "1"];[0, 0];0;0;0;2.4;44.9168000013742;"1";0;[];[];[];[];29769.6;413.138;27.3592000012286;"1";0;[];[];[];[];[];2.82900000092923
HE_14_2_C1;1;1292.53411023236;1869.84415916236;-0.105507957288286;0.748785123944771;32.6920000006794;"1";0;1421.84906936993;1875.09355511299;0.200517344433471;5.14509169650878;3.47926236133258;49.4185000025027;"1";0;[];[];[];[];6.40000000203145;["1", "1"];[0, 0];0;0;4;0;87.7608000009786;"1";0;[];[];[];[];[];[];47.7997999987565;"1";0;[];[];[];[];[];2.5854999985313
HE_14_1_C1;1;1308.17388134652;1886.38163137759;-0.199997704457821;0.792074111969356;49.5566999998118;"1";0;1434.64726521285;1887.1467581871;0.187124236466457;5.14382009161066;3.48257829595177;54.7963000026357;"1";0;[];[];[];[];20.5714000003354;["1", "1"];[0, 0];0;0;0;0;71.4219000001322;"1";0;[];[];[];[];24750.4;415.289;17.9294000008667;"1";0;[];[];[];[];[];2.57989999954589
HE_15_2_C1;1;1279.948164386;1887.16707496541;-0.157149240396208;0.772050127547828;73.5816000014893;"1";0;1408.93920725258;1890.47310867567;0.197923450595129;5.14158064838847;3.48901259922775;168.8436000004;"1";0;[];[];[];[];6.71940000029281;["1", "1"];[0, 0];0;0;0;2.4;106.36340000201;"1";0;[];[];[];[];[];[];20.6977000016195;"1";0;[];[];[];[];[];1.86199999734527
HE_16_2_C1;1;1292.34302601631;1878.17212456768;0;0.754805993241831;51.4302000010503;"1";0;1423.48384334593;1879.18629392451;0.228978778838509;5.13792046307164;3.48658051167428;123.126499998762;"1";0;[];[];[];[];8.22459999835701;["1", "1"];[0, 0];0;0;0;0;90.4211000015493;"1";0;[];[];[];[];[];[];28.8690999987011;"1";0;[];[];[];[];[];1.53510000018287
HE_17_2_C1;1;1294.30789869625;1892.08279205738;-0.108274359810797;0.77688159716061;54.8907000011241;"1";0;1421.47324638464;1893.76874361649;0.210053700041974;5.1345898154428;3.48679067118563;76.7338000005111;"1";0;[];[];[];[];3.7568999978248;["1", "1"];[0, 0];0;0;0;2.4;53.4809000018868;"1";0;[];[];[];[];[];[];47.1694999978354;"1";0;[];[];[];[];[];2.16920000093523
HE_16_1_C1;1;1312.20963969081;1887.68282966753;-0.182095660663518;0.802536467665902;24.196700000175;"1";0;1438.64525241978;1891.98060179653;0.198066839149493;5.14005214483101;3.48303510682602;90.4517999988457;"1";0;[];[];[];[];11.4616999999271;["1", "1"];[0, 0];0;0;4;0;125.620299997536;"1";0;[];[];[];[];[];[];23.5915999983263;"1";0;[];[];[];[];[];3.10720000197762
HE_15_1_C1;1;1294.60578531479;1900.13980523576;-0.244316324030988;0.831408978006436;84.3705000006594;"1";0;1422.72191031497;1902.58534095504;0.195655115274772;5.13968934463345;3.48203688956272;127.36230000155;"1";0;[];[];[];[];5.13869999849703;["1", "1"];[0, 0];0;0;2.4;2.4;67.2908000015013;"1";0;[];[];[];[];30356.8;418.662;44.3599999998696;"1";0;[];[];[];[];[];7.65300000057323
HE_17_1_C1;1;1310.17568510002;1899.43291940771;-0.175858143477053;0.844501149974406;53.3405999995011;"1";0;1437.45186014692;1904.3037230743;0.203330736033328;5.13519103844173;3.48171754611321;128.78599999749;"1";0;[];[];[];[];8.00910000180011;["1", "1"];[0, 0];0;0;0;2.4;75.5046000012953;"1";0;[];[];[];[];[];[];32.5800000027812;"1";0;[];[];[];[];[];3.67299999925308
HE_18_2_C1;1;1311.91649600025;1874.41197791658;0;0.766001425695663;61.1972999977297;"1";0;1438.07977995684;1883.01497012231;0.188047096257224;5.13664412377449;3.48614956429709;55.8960000016668;"1";0;[];[];[];[];7.92290000026696;["1", "1"];[0, 0];0;0;0;4;89.3681999987166;"1";0;[];[];[];[];[];[];24.8328000016045;"1";0;[];[];[];[];[];3.77179999850341
HE_17_3_C1;1;1292.66687896018;1903.57323423677;-0.0605291848004806;0.822929413535576;57.8119000019797;"1";0;1418.23741565752;1904.27184970048;0.233143011982698;5.13402720037428;3.47727780021242;102.984900000592;"1";0;[];[];[];[];6.92790000175592;["1", "1"];[0, 0];0;0;5.6;0;63.008400000399;"1";0;[];[];[];[];[];[];23.9380000020901;"1";0;[];[];[];[];[];2.35269999757293
HE_18_1_C1;1;1327.45088671016;1886.00819780506;-0.171240826046993;0.815988760152749;90.4465999992681;"1";0;1451.60402078475;1894.32519672584;0.191388036774559;5.13485727210755;3.48521390658713;79.143800001475;"1";0;[];[];[];[];4.15209999846411;["1", "1"];[0, 0];0;0;0;0;108.291000000463;"1";0;[];[];[];[];[];[];34.4339000002947;"1";0;[];[];[];[];[];3.0585999993491
HE_18_4_C1;1;1292.63292475709;1878.16016102724;-0.106368230403402;0.796381412709053;34.9298000000999;"1";0;1419.60944899595;1884.48539190977;0.280203350529424;5.14511303653662;3.4818996789396;62.8335000001243;"1";0;[];[];[];[];3.59749999915948;["1", "1"];[0, 0];10.4;0;0;2.4;74.8198000001139;"1";0;[];[];[];[];[];[];52.3529999991297;"1";0;[];[];[];[];[];1.42620000042371
HE_17_4_C1;1;1272.98722617877;1894.13861172252;-0.05810587609606;0.783586492429606;102.826700000151;"1";0;1401.79850434119;1893.48309995407;0.24661783812634;5.13399313590912;3.48220016654516;78.7860999989789;"1";0;[];[];[];[];7.41999999809195;["1", "1"];[0, 0];0;0;2.4;0.8;79.1687999990245;"1";0;[];[];[];[];[];[];26.0078999999678;"1";0;[];[];[];[];[];2.76579999990645
