;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14441021;HE_11_2_C1;1;1282.83533654741;1881.14605200104;0.134358982927859;0.694516094698685;20.9961000073235;"1";0;1411.19130184929;1885.41926656297;0.465736117638788;5.12994293210827;3.4635525792471;22.8019999922253;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.3977999970084;["1", "1"];[0, 0];0;0;0;0;82.2038000042085;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;13.2341999997152;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.50949999806471
HRH14441021;HE_11_1_C1;1;1298.95445574464;1887.87087447607;0.0229584784420572;0.727169706766517;17.9317000001902;"1";0;1429.45549534333;1898.85432092253;0.322355167341416;5.13709895927527;3.47440045936371;49.4376999995438;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.18740000936668;["1", "1"];[0, 0];0;0;0;0;32.3021999938646;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.8121000092942;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.98640000598971
HRH14441021;HE_12_2_C1;1;1301.97472140478;1869.70659731293;-0.0843740286348024;0.695427758227197;70.0878999923589;"1";0;1430.07851863775;1872.54867857709;0.394822439736388;5.13190772165438;3.46325230859472;30.3753000043798;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.3193000057945;["1", "1"];[0, 0];0;0;0;0;32.7419000095688;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.5032000115607;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.26539999514353
HRH14441021;HE_14_1_C1;1;1317.70550765008;1876.04592938098;0.218756900497313;0.658904045744094;17.6280000014231;"1";0;1449.4768026182;1882.7052523058;0.481505209729407;5.13985027792321;3.4634421252379;100.525800007745;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.0387000044575;["1", "1"];[0, 0];0;0;0;0;41.5212999942014;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.5674999880139;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.38219998916611
HRH14441021;HE_14_2_C1;1;1300.86689630296;1865.89821292042;0.252730364282104;0.679483633453884;29.9418000067817;"1";0;1434.82830437368;1870.15994566432;0.448232346146627;5.13448802539922;3.46161588524239;28.382699994836;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.21290000283625;["1", "1"];[0, 0];0;0;0;0;26.5756000007968;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;46.9780999992508;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.39470000087749
HRH14441021;HE_13_2_C1;1;1286.08756665183;1878.93701818754;0.252806053006042;0.73223005821481;37.8275999973994;"1";0;1416.13851496957;1882.46278630391;0.719357935381815;5.13179435790483;3.46082104127802;51.1025000014342;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.89999999222346;["1", "1"];[0, 0];0;0;0;0;32.6531000027899;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.4152000070317;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.57359999604523
HRH14441021;HE_13_1_C1;1;1300.98654823894;1887.0818501121;0.0875421407082813;0.731432147976221;24.8357999953441;"1";0;1432.7575008397;1895.35150457192;0.416943848896238;5.13841751215702;3.4763218626656;28.3936000050744;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.70340000861324;["1", "1"];[0, 0];0;0;0;0;76.181299999007;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;24.2425000033109;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.27670000074431
HRH14441021;HE_16_1_C1;1;1328.97173802643;1883.93331561245;0.526292523534642;0.690681750930679;24.1842999967048;"1";0;1457.05156450436;1892.0555819663;0.814585852264499;5.13611015999719;3.46355074460722;29.7044000035385;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.82009999884758;["1", "1"];[0, 0];0;0;0;0;42.3849000071641;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;26.5432000014698;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.04279999888968
HRH14441021;HE_16_2_C1;1;1309.89823417561;1871.98436464014;0.0775031426756405;0.693193950098646;34.5858999935444;"1";0;1444.07016656318;1878.7716579243;0.262015701905277;5.13457940983948;3.46248213584807;30.9898999985307;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.53059999563266;["1", "1"];[0, 0];0;0;0;0;65.5998000002;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;13.5065000067698;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.14020000910386
HRH14441021;HE_15_2_C1;1;1286.75979699657;1885.9592716536;0.187420849918691;0.654344614799328;60.2077000075951;"1";0;1422.05391816189;1891.01456903797;0.583085984799484;5.13047932451726;3.46201928372744;22.9075999959605;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.05929999740329;["1", "1"];[0, 0];0;0;0;0;37.0608999946853;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;39.922399999341;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.34859999909531
